Event name ,Name of Cluster,Nodes in Cluster,Value of Each Node, Length of Edge ,Direction of Edge
GW170817,Mass Cluster ,Mass 1 (Ma1),1.58,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Mass 1 (Ma2) ,1.46,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Mass 1 (Ma3) ,1.36,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Mass 2 (Mb1),1.36,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Mass 2 (Mb2),1.27,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Mass 2 (Mb3),1.18,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Total Mass (TM1,2.87,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Total Mass (TM2),2.65,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Total Mass (TM3),2.36,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Chirp Mass (CM1),1.188,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Chirp Mass (CM2),1.186,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Chirp Mass (CM3),1.183,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Final Mass (FM1),2.8,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Final Mass (FM2),2.65,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Mass Cluster ,Final Mass (FM3),2.5,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Spin Cluster ,Inspiral (IS1),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Spin Cluster ,Inspiral (IS2),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Spin Cluster ,Inspiral (IS3),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Spin Cluster ,Final Spin (FS1),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Spin Cluster ,Final Spin (FS2),0.5,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Spin Cluster ,Final Spin (FS3),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Q-Value (Ratio of 2 Masses),Q-Value (Q1),0.41,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Q-Value (Ratio of 2 Masses),Q-Value (Q2),0.49,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Q-Value (Ratio of 2 Masses),Q-Value (Q3),0.57,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Redshift Cluster,Source Redshift (SR1),0.1,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Redshift Cluster,Source Redshift (SR1),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170817,Redshift Cluster,Source Redshift (SR1),0,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Mass 1 (Ma1),66.4,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Mass 1 (Ma2) ,50.2,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Mass 1 (Ma3) ,45.3,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Mass 2 (Mb1),44.1,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Mass 2 (Mb2),34.5,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Mass 2 (Mb3),27.9,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Total Mass (TM1),101.2,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Total Mass (TM2),84.5,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Total Mass (TM3),72.3,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Chirp Mass (CM1),41.5,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Chirp Mass (CM2),35.4,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Chirp Mass (CM3),28.6,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Final Mass (FM1),93.7,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Final Mass (FM2),79.5,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Mass Cluster ,Final Mass (FM3),66.8,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Spin Cluster ,Inspiral (IS1),0.64,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Spin Cluster ,Inspiral (IS2),0.37,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Spin Cluster ,Inspiral (IS3),0.18,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Spin Cluster ,Final Spin (FS1),0.94,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Spin Cluster ,Final Spin (FS2),0.81,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Spin Cluster ,Final Spin (FS3),0.67,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Q-Value (Ratio of 2 Masses),Q-Value (Q1),1.02,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
GW170729,Q-Value (Ratio of 2 Masses),Q-Value (Q2),1.69,"Determine by proximity 
/Randomly for now",Towards Highest value of the cluster
