id (Event ID),commonName (Event Name),Classification,Source 1,Source 2,Source 3,
GW150914-v3,GW150914,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12907,https://arxiv.org/abs/1811.12907,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.116.061102
GW151012-v3,GW151012, Black Hole (Low Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.129077,https://arxiv.org/abs/1811.12907,
GW151226-v2,GW151226, Black Hole (Low Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1606.04855,https://cplberry.com/2016/06/15/gw151226/,
GW170104-v2,GW170104,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12907,https://arxiv.org/abs/1811.12907,
GW170608-v3,GW170608, Black Hole (Low Mass),https://cplberry.com/tag/gw151012/,"https://www.ligo.caltech.edu/news/ligo20171115#:~:text=GW170608%20is%20the%20lightest%20black,%2C%20such%20as%20X%2Drays.",https://cplberry.com/2017/11/16/gw170608/,
GW170729-v1,GW170729,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12907,https://arxiv.org/abs/1811.12907,
GW170809-v1,GW170809,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12908,https://arxiv.org/abs/1811.12908,
GW170814-v3,GW170814,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12909,https://arxiv.org/abs/1811.12909,
GW170817-v3,GW170817,Neutron Star ,https://arxiv.org/abs/1710.05832,https://www.ligo.caltech.edu/page/press-release-gw170817,,
GW170818-v1,GW170818,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12908,https://arxiv.org/abs/1811.12908,
GW170823-v1,GW170823,Black Hole (High Mass),https://cplberry.com/tag/gw151012/,https://arxiv.org/abs/1811.12909,https://arxiv.org/abs/1811.12909,
GW190403_051519-v1,GW190403_051519,Black Hole (High Mass),https://arxiv.org/pdf/2108.01045.pdf,,,
GW190408_181802-v1,GW190408_181802, Black Hole (Low Mass),https://arxiv.org/abs/2105.14902,,,
GW190412-v3,GW190412,Black Hole (Low Mass),https://cplberry.com/2020/04/18/gw190412/#spin-parameters,https://arxiv.org/abs/2005.05641,https://arxiv.org/abs/2004.08342,
